customer_id,scoring_date,score,tier,reasons,model
C000041,2024-11-01,0.0667,Green,"[""avg_balance_28d=1090789.17"", ""Low 14d balance Rs.1080059"", ""emi_to_income=0.25""]",sklearn_hgb
C000042,2024-11-01,0.0202,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=578197.61"", ""Low 14d balance Rs.580876""]",sklearn_hgb
C000043,2024-11-01,0.0852,Green,"[""avg_balance_28d=980148.90"", ""Low 14d balance Rs.966658"", ""discretionary_ratio_28d=0.04""]",sklearn_hgb
C000044,2024-11-01,0.0417,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=835320.62"", ""Low 14d balance Rs.825311""]",sklearn_hgb
C000045,2024-11-01,1.0,Red,"[""avg_balance_28d=-14018.33"", ""Low 14d balance Rs.-40517"", ""emi_to_income=0.78""]",sklearn_hgb
C000046,2024-11-01,0.0417,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=741467.40"", ""Low 14d balance Rs.740421""]",sklearn_hgb
C000047,2024-11-01,0.0217,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=1032283.71"", ""Low 14d balance Rs.1026057""]",sklearn_hgb
C000048,2024-11-01,0.0429,Green,"[""avg_balance_28d=103550.87"", ""Low 14d balance Rs.94604"", ""atm_amt_avg=5627.67""]",sklearn_hgb
C000049,2024-11-01,0.178,Green,"[""cash_to_spend_ratio=0.03"", ""emi_to_income=0.21"", ""avg_balance_28d=962528.45""]",sklearn_hgb
C000050,2024-11-01,0.178,Green,"[""Low 14d balance Rs.73175"", ""emi_to_income=0.38"", ""avg_balance_28d=68404.37""]",sklearn_hgb
C000051,2024-11-01,0.0417,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=1043456.97"", ""Low 14d balance Rs.1046950""]",sklearn_hgb
C000052,2024-11-01,0.0417,Green,"[""avg_balance_28d=673002.63"", ""Low 14d balance Rs.674981"", ""emi_to_income=0.26""]",sklearn_hgb
C000053,2024-11-01,0.1239,Green,"[""discretionary_ratio_28d=0.29"", ""avg_balance_28d=98655.62"", ""Low 14d balance Rs.98692""]",sklearn_hgb
C000054,2024-11-01,0.0417,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=854600.19"", ""Low 14d balance Rs.838971""]",sklearn_hgb
C000055,2024-11-01,0.2973,Green,"[""avg_balance_28d=44657.94"", ""Low 14d balance Rs.33425"", ""emi_to_income=0.37""]",sklearn_hgb
C000056,2024-11-01,0.0417,Green,"[""avg_balance_28d=603592.44"", ""Low 14d balance Rs.592827"", ""atm_amt_avg=3223.67""]",sklearn_hgb
C000057,2024-11-01,0.0202,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=1140804.34"", ""Low 14d balance Rs.1138889""]",sklearn_hgb
C000058,2024-11-01,0.0417,Green,"[""avg_balance_28d=171540.84"", ""Low 14d balance Rs.167693"", ""discretionary_ratio_28d=0.06""]",sklearn_hgb
C000059,2024-11-01,0.0389,Green,"[""emi_to_income=0.12"", ""avg_balance_28d=264551.43"", ""Low 14d balance Rs.246310""]",sklearn_hgb
C000060,2024-11-01,0.0417,Green,"[""emi_to_income=0.11"", ""discretionary_ratio_28d=0.30"", ""avg_balance_28d=569054.27""]",sklearn_hgb
C000061,2024-11-01,0.0389,Green,"[""emi_to_income=0.07"", ""avg_balance_28d=549003.06"", ""Low 14d balance Rs.531922""]",sklearn_hgb
C000062,2024-11-01,0.619,Red,"[""emi_to_income=0.97"", ""Low 14d balance Rs.31441"", ""avg_balance_28d=44529.41""]",sklearn_hgb
C000063,2024-11-01,0.0417,Green,"[""avg_balance_28d=268384.19"", ""Low 14d balance Rs.254762"", ""Discretionary spend down -50%""]",sklearn_hgb
C000064,2024-11-01,0.0429,Green,"[""emi_to_income=0.12"", ""avg_balance_28d=381752.92"", ""Low 14d balance Rs.369311""]",sklearn_hgb
C000065,2024-11-01,0.178,Green,"[""Low 14d balance Rs.51724"", ""emi_to_income=0.15"", ""avg_balance_28d=77077.12""]",sklearn_hgb
C000066,2024-11-01,0.178,Green,"[""Low 14d balance Rs.68070"", ""avg_balance_28d=89974.84"", ""discretionary_ratio_28d=0.02""]",sklearn_hgb
C000067,2024-11-01,0.9583,Red,"[""avg_balance_28d=20414.93"", ""Low 14d balance Rs.9186"", ""emi_to_income=0.72""]",sklearn_hgb
C000068,2024-11-01,0.0667,Green,"[""emi_to_income=0.11"", ""avg_balance_28d=1209384.66"", ""balance_slope_28d=2571.13""]",sklearn_hgb
C000069,2024-11-01,0.0417,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=1217656.95"", ""Low 14d balance Rs.1215848""]",sklearn_hgb
C000070,2024-11-01,0.0417,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=442395.00"", ""balance_slope_28d=3417.40""]",sklearn_hgb
C000071,2024-11-01,0.0417,Green,"[""emi_to_income=0.09"", ""avg_balance_28d=1177530.55"", ""Low 14d balance Rs.1156192""]",sklearn_hgb
C000072,2024-11-01,0.0852,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=430464.53"", ""discretionary_ratio_28d=0.03""]",sklearn_hgb
C000073,2024-11-01,0.0417,Green,"[""avg_balance_28d=1028949.94"", ""Low 14d balance Rs.1029666"", ""emi_to_income=0.26""]",sklearn_hgb
C000074,2024-11-01,0.2353,Green,"[""avg_balance_28d=59787.69"", ""Low 14d balance Rs.69163"", ""emi_to_income=0.63""]",sklearn_hgb
C000075,2024-11-01,0.0389,Green,"[""emi_to_income=0.18"", ""avg_balance_28d=357654.26"", ""Low 14d balance Rs.359487""]",sklearn_hgb
C000076,2024-11-01,0.0417,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=832377.85"", ""Low 14d balance Rs.794841""]",sklearn_hgb
C000077,2024-11-01,1.0,Red,"[""avg_balance_28d=9452.02"", ""Low 14d balance Rs.-368"", ""emi_to_income=0.64""]",sklearn_hgb
C000078,2024-11-01,0.0667,Green,"[""avg_balance_28d=860675.09"", ""atm_amt_avg=4616.00"", ""Low 14d balance Rs.870872""]",sklearn_hgb
C000079,2024-11-01,0.0852,Green,"[""avg_balance_28d=354102.13"", ""Low 14d balance Rs.355878"", ""salary_cv_3m=0.03""]",sklearn_hgb
C000080,2024-11-01,0.0417,Green,"[""emi_to_income=0.12"", ""avg_balance_28d=478022.71"", ""discretionary_ratio_28d=0.03""]",sklearn_hgb
C000081,2024-11-01,0.0417,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=624163.77"", ""Low 14d balance Rs.608907""]",sklearn_hgb
C000082,2024-11-01,0.0852,Green,"[""emi_to_income=0.10"", ""avg_balance_28d=833533.08"", ""2 ATM withdrawals this week""]",sklearn_hgb
C000083,2024-11-01,0.619,Red,"[""avg_balance_28d=20063.90"", ""Low 14d balance Rs.17755"", ""emi_to_income=0.34""]",sklearn_hgb
C000084,2024-11-01,0.0417,Green,"[""emi_to_income=0.09"", ""avg_balance_28d=988184.29"", ""Low 14d balance Rs.970614""]",sklearn_hgb
C000085,2024-11-01,0.0667,Green,"[""emi_to_income=0.13"", ""avg_balance_28d=988796.17"", ""Low 14d balance Rs.967203""]",sklearn_hgb
C000086,2024-11-01,0.0417,Green,"[""emi_to_income=0.19"", ""avg_balance_28d=849261.46"", ""Low 14d balance Rs.855429""]",sklearn_hgb
C000087,2024-11-01,0.0417,Green,"[""emi_to_income=0.13"", ""avg_balance_28d=1280253.11"", ""Low 14d balance Rs.1285184""]",sklearn_hgb
C000088,2024-11-01,0.0417,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=961958.11"", ""Low 14d balance Rs.956714""]",sklearn_hgb
C000089,2024-11-01,0.0417,Green,"[""emi_to_income=0.15"", ""avg_balance_28d=589900.54"", ""discretionary_ratio_28d=0.05""]",sklearn_hgb
C000090,2024-11-01,0.0417,Green,"[""emi_to_income=0.12"", ""avg_balance_28d=641451.01"", ""Low 14d balance Rs.622987""]",sklearn_hgb
C000091,2024-11-01,0.178,Green,"[""avg_balance_28d=205392.25"", ""discretionary_ratio_28d=0.02"", ""salary_cv_3m=0.09""]",sklearn_hgb
C000092,2024-11-01,0.0667,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=991597.57"", ""Low 14d balance Rs.988242""]",sklearn_hgb
C000093,2024-11-01,0.0417,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=483348.06"", ""atm_amt_avg=6416.00""]",sklearn_hgb
C000094,2024-11-01,0.0852,Green,"[""avg_balance_28d=539513.68"", ""atm_amt_avg=6385.33"", ""Low 14d balance Rs.531932""]",sklearn_hgb
C000095,2024-11-01,0.9583,Red,"[""avg_balance_28d=42416.46"", ""emi_to_income=0.82"", ""Low 14d balance Rs.35793""]",sklearn_hgb
C000096,2024-11-01,0.0417,Green,"[""avg_balance_28d=184881.96"", ""Low 14d balance Rs.189268"", ""balance_slope_28d=2130.53""]",sklearn_hgb
C000097,2024-11-01,0.0417,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=375745.40"", ""Low 14d balance Rs.363843""]",sklearn_hgb
C000098,2024-11-01,0.0667,Green,"[""avg_balance_28d=437898.49"", ""Low 14d balance Rs.434982"", ""Discretionary spend down -160%""]",sklearn_hgb
C000099,2024-11-01,0.0667,Green,"[""avg_balance_28d=397921.99"", ""Low 14d balance Rs.385886"", ""tenure_months=10.00""]",sklearn_hgb
C000100,2024-11-01,0.0417,Green,"[""avg_balance_28d=779453.94"", ""Low 14d balance Rs.764703"", ""2 ATM withdrawals this week""]",sklearn_hgb
C000101,2024-11-01,0.0217,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=421802.76"", ""Low 14d balance Rs.413859""]",sklearn_hgb
C000102,2024-11-01,0.7342,Red,"[""Low 14d balance Rs.55577"", ""emi_to_income=0.75"", ""avg_balance_28d=60711.76""]",sklearn_hgb
C000103,2024-11-01,0.0417,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=641364.37"", ""Low 14d balance Rs.647687""]",sklearn_hgb
C000104,2024-11-01,1.0,Red,"[""avg_balance_28d=15401.06"", ""Low 14d balance Rs.14249"", ""emi_to_income=0.60""]",sklearn_hgb
C000105,2024-11-01,0.0667,Green,"[""emi_to_income=0.19"", ""avg_balance_28d=814850.52"", ""discretionary_ratio_28d=0.03""]",sklearn_hgb
C000106,2024-11-01,0.0417,Green,"[""avg_balance_28d=850122.38"", ""Low 14d balance Rs.837060"", ""emi_to_income=0.26""]",sklearn_hgb
C000107,2024-11-01,0.0417,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=312494.16"", ""Low 14d balance Rs.306045""]",sklearn_hgb
C000108,2024-11-01,0.0667,Green,"[""avg_balance_28d=240569.08"", ""Low 14d balance Rs.222628"", ""atm_amt_avg=5113.67""]",sklearn_hgb
C000109,2024-11-01,0.9688,Red,"[""emi_to_income=1.01"", ""Low 14d balance Rs.52759"", ""avg_balance_28d=53633.01""]",sklearn_hgb
C000110,2024-11-01,0.0852,Green,"[""avg_balance_28d=361545.73"", ""Low 14d balance Rs.339015"", ""Discretionary spend down -169%""]",sklearn_hgb
C000111,2024-11-01,0.8511,Red,"[""avg_balance_28d=25227.35"", ""Low 14d balance Rs.13071"", ""discretionary_ratio_28d=0.24""]",sklearn_hgb
C000112,2024-11-01,0.0417,Green,"[""emi_to_income=0.05"", ""avg_balance_28d=1301994.03"", ""Low 14d balance Rs.1304116""]",sklearn_hgb
C000113,2024-11-01,0.2973,Green,"[""Low 14d balance Rs.36957"", ""avg_balance_28d=53157.27"", ""emi_to_income=0.53""]",sklearn_hgb
C000114,2024-11-01,0.1239,Green,"[""cash_to_spend_ratio=0.02"", ""avg_balance_28d=736765.35"", ""Low 14d balance Rs.737890""]",sklearn_hgb
C000115,2024-11-01,0.0667,Green,"[""avg_balance_28d=650809.08"", ""balance_slope_28d=2674.76"", ""Low 14d balance Rs.629027""]",sklearn_hgb
C000116,2024-11-01,0.2973,Green,"[""Low 14d balance Rs.28367"", ""avg_balance_28d=49461.71"", ""1 failed auto-debit(s)""]",sklearn_hgb
C000117,2024-11-01,0.0417,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=717930.57"", ""salary_cv_3m=0.17""]",sklearn_hgb
C000118,2024-11-01,0.2973,Green,"[""Low 14d balance Rs.48803"", ""avg_balance_28d=53609.55"", ""emi_to_income=0.53""]",sklearn_hgb
C000119,2024-11-01,0.0417,Green,"[""emi_to_income=0.05"", ""avg_balance_28d=1217060.05"", ""Low 14d balance Rs.1201747""]",sklearn_hgb
C000120,2024-11-01,0.0417,Green,"[""emi_to_income=0.21"", ""avg_balance_28d=829245.35"", ""Low 14d balance Rs.819870""]",sklearn_hgb
C000121,2024-11-01,0.0417,Green,"[""emi_to_income=0.10"", ""avg_balance_28d=854829.15"", ""Low 14d balance Rs.856186""]",sklearn_hgb
C000122,2024-11-01,0.0417,Green,"[""emi_to_income=0.22"", ""avg_balance_28d=1003907.08"", ""Low 14d balance Rs.1010532""]",sklearn_hgb
C000123,2024-11-01,0.0389,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=525673.15"", ""Low 14d balance Rs.514360""]",sklearn_hgb
C000124,2024-11-01,0.0667,Green,"[""avg_balance_28d=111245.73"", ""discretionary_ratio_28d=0.06"", ""Low 14d balance Rs.104803""]",sklearn_hgb
C000125,2024-11-01,0.0852,Green,"[""avg_balance_28d=140573.25"", ""Low 14d balance Rs.144329"", ""Discretionary spend down 16%""]",sklearn_hgb
C000126,2024-11-01,0.0417,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=1170078.45"", ""Low 14d balance Rs.1150975""]",sklearn_hgb
C000127,2024-11-01,0.0667,Green,"[""emi_to_income=0.13"", ""avg_balance_28d=566892.98"", ""Low 14d balance Rs.560736""]",sklearn_hgb
C000128,2024-11-01,0.0667,Green,"[""emi_to_income=0.10"", ""avg_balance_28d=1063724.75"", ""atm_amt_avg=6505.00""]",sklearn_hgb
C000129,2024-11-01,0.0667,Green,"[""avg_balance_28d=196768.48"", ""balance_slope_28d=2954.68"", ""Low 14d balance Rs.200904""]",sklearn_hgb
C000130,2024-11-01,0.0417,Green,"[""emi_to_income=0.10"", ""avg_balance_28d=1273924.67"", ""Low 14d balance Rs.1254300""]",sklearn_hgb
C000131,2024-11-01,0.0852,Green,"[""emi_to_income=0.17"", ""atm_amt_avg=6577.50"", ""avg_balance_28d=1074901.01""]",sklearn_hgb
C000132,2024-11-01,0.1239,Green,"[""emi_to_income=0.59"", ""avg_balance_28d=122355.92"", ""Low 14d balance Rs.127523""]",sklearn_hgb
C000133,2024-11-01,0.0667,Green,"[""avg_balance_28d=456816.65"", ""Low 14d balance Rs.439444"", ""emi_to_income=0.30""]",sklearn_hgb
C000134,2024-11-01,0.1239,Green,"[""emi_to_income=0.05"", ""3 ATM withdrawals this week"", ""avg_balance_28d=1000109.11""]",sklearn_hgb
C000135,2024-11-01,0.1239,Green,"[""avg_balance_28d=228352.91"", ""balance_slope_28d=2723.30"", ""Low 14d balance Rs.219736""]",sklearn_hgb
C000136,2024-11-01,0.7342,Red,"[""avg_balance_28d=24044.41"", ""Low 14d balance Rs.13278"", ""Savings -1% WoW""]",sklearn_hgb
C000137,2024-11-01,0.0417,Green,"[""emi_to_income=0.23"", ""avg_balance_28d=311999.56"", ""2 ATM withdrawals this week""]",sklearn_hgb
C000138,2024-11-01,0.0417,Green,"[""emi_to_income=0.13"", ""avg_balance_28d=723545.17"", ""salary_cv_3m=0.19""]",sklearn_hgb
C000139,2024-11-01,0.2353,Green,"[""Low 14d balance Rs.44210"", ""avg_balance_28d=58389.53"", ""emi_to_income=0.49""]",sklearn_hgb
C000140,2024-11-01,0.1239,Green,"[""avg_balance_28d=365223.55"", ""Low 14d balance Rs.373513"", ""Discretionary spend down 33%""]",sklearn_hgb
C000141,2024-11-01,0.0417,Green,"[""emi_to_income=0.11"", ""avg_balance_28d=1213898.27"", ""Low 14d balance Rs.1207541""]",sklearn_hgb
C000142,2024-11-01,0.7342,Red,"[""avg_balance_28d=36942.23"", ""Low 14d balance Rs.25820"", ""0 failed auto-debit(s)""]",sklearn_hgb
C000143,2024-11-01,0.7342,Red,"[""avg_balance_28d=23789.60"", ""Low 14d balance Rs.24151"", ""1 failed auto-debit(s)""]",sklearn_hgb
C000144,2024-11-01,0.0217,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=518253.41"", ""Low 14d balance Rs.513859""]",sklearn_hgb
C000145,2024-11-01,0.7342,Red,"[""avg_balance_28d=30654.14"", ""Low 14d balance Rs.28664"", ""emi_to_income=0.66""]",sklearn_hgb
C000146,2024-11-01,1.0,Red,"[""avg_balance_28d=29452.54"", ""emi_to_income=1.14"", ""Low 14d balance Rs.13719""]",sklearn_hgb
C000147,2024-11-01,0.3,Amber,"[""avg_balance_28d=40840.45"", ""Low 14d balance Rs.16330"", ""2 failed auto-debit(s)""]",sklearn_hgb
C000148,2024-11-01,0.7342,Red,"[""avg_balance_28d=44073.14"", ""Low 14d balance Rs.41245"", ""emi_to_income=0.61""]",sklearn_hgb
C000149,2024-11-01,0.0667,Green,"[""avg_balance_28d=828501.80"", ""Low 14d balance Rs.823213"", ""salary_cv_3m=0.03""]",sklearn_hgb
C000150,2024-11-01,0.7342,Red,"[""avg_balance_28d=46155.11"", ""Low 14d balance Rs.51149"", ""emi_to_income=0.59""]",sklearn_hgb
C000151,2024-11-01,0.0667,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=647692.33"", ""atm_amt_avg=6457.00""]",sklearn_hgb
C000152,2024-11-01,0.0417,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=915095.81"", ""Low 14d balance Rs.901889""]",sklearn_hgb
C000153,2024-11-01,0.0667,Green,"[""emi_to_income=0.21"", ""discretionary_ratio_28d=0.28"", ""avg_balance_28d=746202.98""]",sklearn_hgb
C000154,2024-11-01,0.0667,Green,"[""emi_to_income=0.20"", ""atm_amt_avg=6560.50"", ""avg_balance_28d=789150.18""]",sklearn_hgb
C000155,2024-11-01,0.0417,Green,"[""emi_to_income=0.14"", ""avg_balance_28d=459622.02"", ""atm_amt_avg=3420.00""]",sklearn_hgb
C000156,2024-11-01,0.0417,Green,"[""emi_to_income=0.06"", ""avg_balance_28d=1238312.25"", ""Low 14d balance Rs.1220640""]",sklearn_hgb
C000157,2024-11-01,0.9286,Red,"[""avg_balance_28d=-44250.91"", ""Low 14d balance Rs.-72628"", ""emi_to_income=0.45""]",sklearn_hgb
C000158,2024-11-01,0.2973,Green,"[""emi_to_income=0.86"", ""Low 14d balance Rs.58503"", ""1 failed auto-debit(s)""]",sklearn_hgb
C000159,2024-11-01,0.0389,Green,"[""emi_to_income=0.23"", ""avg_balance_28d=785879.44"", ""Low 14d balance Rs.776014""]",sklearn_hgb
C000160,2024-11-01,0.619,Red,"[""emi_to_income=0.90"", ""Low 14d balance Rs.19997"", ""avg_balance_28d=44030.37""]",sklearn_hgb
C000161,2024-11-01,0.0667,Green,"[""emi_to_income=0.21"", ""discretionary_ratio_28d=0.30"", ""avg_balance_28d=251509.81""]",sklearn_hgb
C000162,2024-11-01,0.1239,Green,"[""avg_balance_28d=116370.49"", ""atm_amt_avg=6417.00"", ""Low 14d balance Rs.100283""]",sklearn_hgb
C000163,2024-11-01,0.7342,Red,"[""avg_balance_28d=31490.93"", ""Low 14d balance Rs.31030"", ""emi_to_income=0.75""]",sklearn_hgb
C000164,2024-11-01,0.178,Green,"[""Low 14d balance Rs.62907"", ""avg_balance_28d=83925.60"", ""atm_amt_avg=8482.00""]",sklearn_hgb
C000165,2024-11-01,0.0417,Green,"[""emi_to_income=0.20"", ""avg_balance_28d=726091.54"", ""Low 14d balance Rs.726282""]",sklearn_hgb
C000166,2024-11-01,0.0417,Green,"[""emi_to_income=0.16"", ""avg_balance_28d=830613.79"", ""Low 14d balance Rs.827898""]",sklearn_hgb
C000167,2024-11-01,0.0667,Green,"[""emi_to_income=0.17"", ""avg_balance_28d=91518.75"", ""atm_amt_avg=6527.00""]",sklearn_hgb
C000168,2024-11-01,0.0417,Green,"[""avg_balance_28d=1023527.85"", ""Low 14d balance Rs.1009306"", ""emi_to_income=0.24""]",sklearn_hgb
C000169,2024-11-01,1.0,Red,"[""emi_to_income=0.91"", ""Low 14d balance Rs.45542"", ""avg_balance_28d=56189.36""]",sklearn_hgb
C000170,2024-11-01,0.0417,Green,"[""emi_to_income=0.07"", ""avg_balance_28d=967771.82"", ""Low 14d balance Rs.955203""]",sklearn_hgb
C000171,2024-11-01,0.0667,Green,"[""emi_to_income=0.15"", ""avg_balance_28d=986597.17"", ""Low 14d balance Rs.982521""]",sklearn_hgb
C000172,2024-11-01,0.0667,Green,"[""avg_balance_28d=593785.66"", ""Low 14d balance Rs.577912"", ""emi_to_income=0.25""]",sklearn_hgb
C000173,2024-11-01,0.0417,Green,"[""avg_balance_28d=486175.06"", ""Low 14d balance Rs.487314"", ""Discretionary spend down -39%""]",sklearn_hgb
C000174,2024-11-01,0.9688,Red,"[""emi_to_income=0.92"", ""Low 14d balance Rs.42450"", ""avg_balance_28d=51420.92""]",sklearn_hgb
C000175,2024-11-01,0.0667,Green,"[""avg_balance_28d=199660.54"", ""Low 14d balance Rs.200681"", ""Discretionary spend down 22%""]",sklearn_hgb
