customer_id,archetype,age_band,geography,product_type,emi_amount,emi_day,income_median,salary_day
C000050,salaried_stable,35-45,Bengaluru,personal,16418,5,42652,2
C000051,salaried_stable,35-45,Mumbai,credit_card,26321,5,134530,3
C000052,gig_worker,55+,Bengaluru,home,32606,5,124669,2
C000053,salaried_stressed,55+,Delhi,home,20220,5,48202,3
C000054,gig_worker,25-35,Kolkata,credit_card,20023,5,117175,1
C000055,gig_worker,35-45,Kolkata,home,16273,5,44015,2
C000056,salaried_stable,55+,Mumbai,home,30566,5,98163,4
C000057,salaried_stressed,45-55,Chennai,home,25720,5,140857,4
C000058,salaried_stable,25-35,Chennai,home,23075,5,54715,5
C000059,salaried_stable,45-55,Bengaluru,credit_card,5893,5,50859,5
C000060,salaried_stressed,25-35,Bengaluru,home,8853,5,80745,5
C000061,salaried_stable,25-35,Hyderabad,home,5260,5,74234,1
C000062,salaried_stressed,45-55,Bengaluru,personal,34758,5,35816,4
C000063,gig_worker,45-55,Mumbai,home,34807,5,84718,2
C000064,salaried_stressed,55+,Bengaluru,credit_card,7377,5,61145,2
C000065,salaried_stressed,35-45,Delhi,home,6624,5,44933,2
C000066,salaried_stressed,55+,Bengaluru,personal,32350,5,63124,3
C000067,salaried_stable,35-45,Delhi,home,23367,5,32476,1
C000068,salaried_stable,45-55,Mumbai,credit_card,15812,5,139804,3
C000069,salaried_stable,25-35,Kolkata,personal,26524,5,149290,1
C000070,salaried_stable,25-35,Mumbai,personal,13276,5,74114,3
C000071,salaried_stable,55+,Hyderabad,home,11935,5,135198,4
C000072,sme_owner,55+,Hyderabad,home,17861,5,85361,1
C000073,salaried_stable,55+,Chennai,personal,36350,5,139480,1
C000074,salaried_stable,35-45,Kolkata,credit_card,31850,5,50775,5
C000075,salaried_stable,25-35,Mumbai,credit_card,11653,5,64147,4
C000076,salaried_stable,55+,Delhi,home,24660,5,118779,2
C000077,salaried_stressed,45-55,Delhi,home,35958,5,56412,5
C000078,salaried_stressed,25-35,Chennai,personal,38306,5,128824,2
C000079,gig_worker,55+,Chennai,credit_card,31704,5,81103,5
C000080,salaried_stressed,55+,Kolkata,credit_card,9510,5,78467,1
C000081,salaried_stable,35-45,Bengaluru,home,13426,5,84398,4
C000082,gig_worker,55+,Delhi,home,12651,5,125743,1
C000083,salaried_stable,55+,Kolkata,credit_card,10276,5,30671,1
C000084,salaried_stable,45-55,Hyderabad,credit_card,11136,5,120082,3
C000085,salaried_stable,45-55,Hyderabad,personal,16068,5,123510,1
C000086,gig_worker,35-45,Bengaluru,credit_card,24442,5,128537,3
C000087,salaried_stable,55+,Bengaluru,credit_card,18928,5,149600,2
C000088,salaried_stable,55+,Bengaluru,credit_card,19728,5,123871,1
C000089,salaried_stressed,55+,Hyderabad,home,13602,5,93442,5
C000090,salaried_stable,45-55,Delhi,home,10286,5,85933,5
C000091,salaried_stressed,25-35,Kolkata,personal,39961,5,76591,5
C000092,salaried_stable,35-45,Delhi,home,25964,5,129258,1
C000093,salaried_stable,35-45,Bengaluru,personal,13037,5,77130,2
C000094,salaried_stable,55+,Delhi,home,33349,5,98717,2
C000095,salaried_stressed,45-55,Chennai,personal,34072,5,41529,2
C000096,salaried_stable,45-55,Hyderabad,home,38837,5,68078,3
C000097,salaried_stable,25-35,Kolkata,home,10569,5,61939,3
C000098,salaried_stable,55+,Hyderabad,personal,27398,5,82202,3
C000099,pensioner,35-45,Delhi,credit_card,39308,5,90255,2
C000100,pensioner,25-35,Delhi,home,33233,5,115979,5
C000101,salaried_stressed,55+,Kolkata,credit_card,12893,5,81821,5
C000102,salaried_stable,25-35,Bengaluru,personal,36256,5,48040,2
C000103,pensioner,25-35,Mumbai,credit_card,19759,5,95404,2
C000104,gig_worker,25-35,Hyderabad,personal,22112,5,36562,3
C000105,gig_worker,35-45,Chennai,home,24549,5,131887,2
C000106,salaried_stable,25-35,Mumbai,home,31998,5,122467,5
C000107,salaried_stable,55+,Hyderabad,home,9210,5,57029,3
C000108,salaried_stable,45-55,Chennai,home,23873,5,61588,1
C000109,pensioner,35-45,Chennai,credit_card,33588,5,33319,1
C000110,salaried_stable,25-35,Kolkata,personal,24197,5,73729,1
C000111,salaried_stable,35-45,Bengaluru,credit_card,14613,5,34587,2
C000112,salaried_stable,25-35,Bengaluru,personal,6969,5,142361,2
C000113,salaried_stressed,55+,Chennai,personal,24224,5,46100,5
C000114,salaried_stable,35-45,Delhi,personal,29617,5,109124,5
C000115,sme_owner,35-45,Mumbai,credit_card,24237,5,98457,1
C000116,gig_worker,25-35,Kolkata,personal,39277,5,58423,5
C000117,gig_worker,25-35,Delhi,home,26092,5,126982,3
C000118,salaried_stable,25-35,Chennai,home,22788,5,43064,2
C000119,salaried_stressed,25-35,Delhi,credit_card,6942,5,136416,3
C000120,salaried_stressed,45-55,Delhi,home,24550,5,118841,3
C000121,salaried_stressed,55+,Chennai,credit_card,10901,5,106213,1
C000122,salaried_stable,55+,Hyderabad,credit_card,30365,5,135559,5
C000123,salaried_stable,35-45,Bengaluru,credit_card,10641,5,78377,1
C000124,salaried_stable,55+,Mumbai,credit_card,36734,5,63796,1
C000125,salaried_stable,45-55,Delhi,personal,15571,5,48541,2
C000126,salaried_stable,25-35,Mumbai,home,20189,5,140924,1
C000127,salaried_stable,25-35,Kolkata,home,10071,5,78170,1
C000128,salaried_stable,45-55,Delhi,personal,12374,5,129526,2
C000129,salaried_stressed,35-45,Bengaluru,personal,37267,5,69889,2
C000130,salaried_stable,25-35,Mumbai,personal,14929,5,144599,1
C000131,pensioner,55+,Bengaluru,credit_card,22953,5,134403,5
C000132,salaried_stressed,45-55,Kolkata,home,39348,5,66964,5
C000133,salaried_stable,45-55,Bengaluru,personal,26825,5,88406,4
C000134,salaried_stressed,55+,Chennai,credit_card,6457,5,125278,3
C000135,salaried_stable,55+,Delhi,credit_card,17512,5,57143,5
C000136,pensioner,55+,Mumbai,credit_card,18539,5,32842,2
C000137,salaried_stable,35-45,Hyderabad,credit_card,14668,5,64656,3
C000138,gig_worker,55+,Mumbai,credit_card,13441,5,100870,1
C000139,salaried_stable,45-55,Bengaluru,personal,22611,5,46376,4
C000140,salaried_stable,45-55,Delhi,credit_card,18196,5,70007,1
C000141,salaried_stable,55+,Mumbai,home,15301,5,140230,4
C000142,pensioner,25-35,Chennai,home,19454,5,39009,4
C000143,salaried_stressed,35-45,Kolkata,home,17027,5,36041,2
C000144,salaried_stable,25-35,Mumbai,home,13005,5,80862,4
C000145,salaried_stable,35-45,Hyderabad,home,20846,5,31541,2
C000146,salaried_stable,35-45,Chennai,credit_card,37980,5,33338,2
C000147,salaried_stressed,55+,Hyderabad,personal,22700,5,51958,3
C000148,salaried_stable,55+,Mumbai,personal,25914,5,42270,2
C000149,salaried_stable,35-45,Kolkata,personal,39450,5,127304,4
C000150,sme_owner,35-45,Mumbai,credit_card,26476,5,44724,2
C000151,sme_owner,45-55,Kolkata,home,12816,5,92816,3
C000152,salaried_stable,55+,Chennai,home,18946,5,114634,5
C000153,salaried_stressed,55+,Bengaluru,home,22079,5,105101,2
C000154,salaried_stable,25-35,Mumbai,home,21617,5,108464,3
C000155,salaried_stressed,25-35,Chennai,home,10232,5,72927,5
C000156,salaried_stable,45-55,Mumbai,personal,8704,5,136661,2
C000157,salaried_stressed,35-45,Chennai,personal,17249,5,38241,1
C000158,gig_worker,25-35,Hyderabad,credit_card,36999,5,42877,2
C000159,gig_worker,25-35,Delhi,home,30105,5,132738,5
C000160,salaried_stable,35-45,Delhi,personal,34460,5,38201,4
C000161,pensioner,35-45,Delhi,home,11106,5,53027,5
C000162,salaried_stable,45-55,Delhi,home,19499,5,50780,2
C000163,salaried_stable,25-35,Mumbai,personal,25347,5,33967,5
C000164,salaried_stressed,45-55,Delhi,personal,20201,5,44040,2
C000165,salaried_stable,45-55,Chennai,credit_card,19584,5,98724,4
C000166,sme_owner,35-45,Delhi,personal,17592,5,109343,5
C000167,gig_worker,25-35,Hyderabad,personal,6805,5,39994,2
C000168,salaried_stable,45-55,Hyderabad,home,35002,5,143086,5
C000169,pensioner,45-55,Hyderabad,home,37657,5,41491,4
C000170,salaried_stable,35-45,Chennai,credit_card,7829,5,112440,4
C000171,salaried_stressed,35-45,Delhi,credit_card,19476,5,126045,4
C000172,salaried_stable,45-55,Kolkata,personal,23124,5,92493,1
C000173,pensioner,35-45,Delhi,home,32437,5,88993,4
C000174,salaried_stable,35-45,Bengaluru,personal,39536,5,43086,2
C000175,salaried_stable,35-45,Bengaluru,home,19570,5,58981,2
C000176,salaried_stable,35-45,Hyderabad,personal,31212,5,132070,1
C000177,pensioner,45-55,Chennai,personal,37807,5,71835,1
C000178,sme_owner,35-45,Hyderabad,credit_card,34060,5,34133,5
C000179,gig_worker,35-45,Kolkata,personal,15166,5,117508,2
C000180,sme_owner,45-55,Bengaluru,home,33612,5,112038,2
C000181,sme_owner,35-45,Kolkata,personal,19428,5,37962,3
C000182,salaried_stressed,25-35,Delhi,credit_card,5613,5,36128,4
C000183,salaried_stable,55+,Kolkata,credit_card,31560,5,43977,3
C000184,gig_worker,25-35,Delhi,home,34239,5,36108,3
C000185,salaried_stressed,45-55,Kolkata,credit_card,17028,5,103951,5
C000186,salaried_stable,35-45,Bengaluru,home,20782,5,45914,3
C000187,salaried_stable,25-35,Kolkata,personal,17752,5,102836,4
C000188,gig_worker,25-35,Mumbai,personal,9095,5,51136,5
C000189,salaried_stable,55+,Bengaluru,personal,39818,5,146695,4
C000190,pensioner,35-45,Kolkata,personal,5791,5,117110,1
C000191,salaried_stable,35-45,Mumbai,personal,24446,5,74945,2
C000192,salaried_stable,45-55,Delhi,personal,5522,5,81445,4
C000193,sme_owner,25-35,Mumbai,home,29128,5,37809,3
C000194,salaried_stable,45-55,Delhi,personal,36529,5,36585,2
C000195,salaried_stable,35-45,Bengaluru,home,27521,5,94504,2
C000196,salaried_stressed,45-55,Chennai,home,26215,5,32730,1
C000197,sme_owner,25-35,Delhi,credit_card,33977,5,106601,2
C000198,salaried_stable,55+,Mumbai,home,39098,5,75892,4
C000199,salaried_stable,25-35,Delhi,credit_card,35163,5,46752,1
C000200,gig_worker,45-55,Kolkata,home,13099,5,94282,5
C000201,pensioner,45-55,Kolkata,personal,24713,5,96343,2
C000202,salaried_stressed,35-45,Delhi,home,33658,5,119556,5
C000203,salaried_stable,25-35,Delhi,home,15309,5,53732,2
C000204,salaried_stable,35-45,Mumbai,home,28631,5,95685,5
C000205,salaried_stable,55+,Kolkata,home,5798,5,131367,3
C000206,salaried_stable,55+,Hyderabad,home,35706,5,62398,5
C000207,salaried_stressed,55+,Hyderabad,personal,26504,5,130219,1
C000208,salaried_stable,25-35,Delhi,personal,31008,5,116802,4
C000209,salaried_stressed,45-55,Chennai,credit_card,33891,5,81555,2
C000210,salaried_stressed,25-35,Mumbai,credit_card,12657,5,135982,2
C000211,salaried_stressed,45-55,Hyderabad,personal,20768,5,146009,1
C000212,salaried_stable,35-45,Chennai,credit_card,35052,5,58422,5
C000213,gig_worker,45-55,Delhi,credit_card,10764,5,147572,4
C000214,gig_worker,45-55,Hyderabad,personal,33786,5,30289,5
C000215,gig_worker,55+,Chennai,credit_card,15082,5,45510,3
C000216,salaried_stable,35-45,Bengaluru,home,25142,5,35181,1
C000217,salaried_stable,35-45,Delhi,credit_card,22849,5,74125,2
C000218,pensioner,45-55,Mumbai,home,29027,5,142437,3
C000219,salaried_stable,25-35,Kolkata,home,34283,5,102038,1
C000220,salaried_stable,25-35,Delhi,personal,17214,5,103989,5
C000221,salaried_stable,45-55,Delhi,personal,11011,5,40180,5
C000222,salaried_stressed,55+,Hyderabad,home,19798,5,91934,3
C000223,pensioner,45-55,Delhi,credit_card,26425,5,75918,3
C000224,salaried_stable,55+,Bengaluru,credit_card,31265,5,87530,4
C000225,pensioner,25-35,Hyderabad,credit_card,31367,5,61340,4
C000226,salaried_stable,35-45,Chennai,home,16898,5,54188,1
C000227,salaried_stressed,45-55,Chennai,home,37761,5,144246,3
C000228,salaried_stressed,35-45,Mumbai,home,7910,5,97009,4
C000229,salaried_stable,25-35,Bengaluru,credit_card,9084,5,79390,5
C000230,salaried_stable,25-35,Bengaluru,personal,5866,5,38857,3
C000231,salaried_stable,55+,Chennai,personal,37423,5,121520,5
C000232,pensioner,45-55,Mumbai,credit_card,11304,5,86709,3
C000233,salaried_stressed,35-45,Mumbai,home,26051,5,76404,2
C000234,pensioner,35-45,Hyderabad,home,33453,5,110033,3
C000235,gig_worker,25-35,Hyderabad,credit_card,31834,5,45817,4
C000236,salaried_stable,55+,Hyderabad,credit_card,38209,5,93983,5
C000237,gig_worker,25-35,Delhi,personal,6882,5,133578,2
C000238,salaried_stable,55+,Kolkata,home,19247,5,85677,2
C000239,salaried_stable,25-35,Delhi,home,22715,5,30050,4
C000240,sme_owner,35-45,Chennai,credit_card,29365,5,57590,4
C000241,gig_worker,35-45,Mumbai,credit_card,26792,5,36712,2
C000242,salaried_stable,55+,Kolkata,home,24598,5,90022,4
C000243,salaried_stressed,25-35,Delhi,credit_card,15739,5,73726,1
C000244,salaried_stressed,35-45,Hyderabad,home,8726,5,45891,2
C000245,sme_owner,35-45,Delhi,credit_card,20107,5,112427,5
C000246,salaried_stressed,35-45,Hyderabad,home,14088,5,51193,3
C000247,salaried_stable,25-35,Bengaluru,home,24400,5,71004,5
C000248,salaried_stable,55+,Mumbai,home,32899,5,148524,2
C000249,salaried_stable,35-45,Delhi,credit_card,24339,5,37957,2
C000250,salaried_stressed,35-45,Hyderabad,home,25406,5,59724,5
C000251,sme_owner,35-45,Delhi,personal,6465,5,68140,5
C000252,salaried_stable,55+,Delhi,personal,27562,5,91048,5
C000253,salaried_stable,35-45,Chennai,home,20381,5,59397,2
C000254,salaried_stable,35-45,Delhi,credit_card,9329,5,146403,5
C000255,gig_worker,35-45,Mumbai,home,12483,5,30650,3
C000256,gig_worker,35-45,Chennai,home,32326,5,143766,5
C000257,salaried_stable,25-35,Hyderabad,credit_card,37084,5,94176,5
C000258,salaried_stable,45-55,Hyderabad,home,22770,5,34594,3
C000259,salaried_stressed,25-35,Kolkata,credit_card,39180,5,43997,2
C000260,salaried_stable,25-35,Mumbai,home,11301,5,42366,5
C000261,sme_owner,25-35,Bengaluru,credit_card,15487,5,64499,3
C000262,salaried_stable,35-45,Delhi,credit_card,37552,5,69967,3
C000263,salaried_stable,55+,Kolkata,home,11131,5,106942,4
C000264,pensioner,45-55,Chennai,personal,28078,5,67344,5
C000265,salaried_stable,55+,Mumbai,home,12682,5,117013,1
C000266,salaried_stable,35-45,Hyderabad,personal,16591,5,65255,5
C000267,salaried_stable,55+,Mumbai,home,21721,5,61614,3
C000268,salaried_stable,25-35,Delhi,personal,17599,5,63043,1
C000269,salaried_stable,45-55,Hyderabad,home,35607,5,69503,2
C000270,salaried_stable,55+,Chennai,home,39047,5,130528,3
C000271,salaried_stable,45-55,Hyderabad,personal,22501,5,59629,4
C000272,salaried_stable,55+,Chennai,personal,23382,5,62791,3
C000273,salaried_stressed,35-45,Kolkata,home,6938,5,144826,1
C000274,salaried_stressed,25-35,Chennai,personal,13197,5,108449,3
C000275,salaried_stable,55+,Mumbai,credit_card,6395,5,52862,2
C000276,salaried_stable,25-35,Mumbai,credit_card,34982,5,134181,2
C000277,salaried_stressed,55+,Hyderabad,credit_card,12958,5,51981,4
C000278,sme_owner,45-55,Mumbai,personal,16922,5,49453,5
C000279,sme_owner,55+,Bengaluru,credit_card,34496,5,83404,1
C000280,salaried_stable,35-45,Mumbai,home,29965,5,112952,4
C000281,salaried_stable,55+,Delhi,home,26751,5,52716,3
C000282,salaried_stable,25-35,Chennai,personal,6346,5,120399,2
C000283,salaried_stable,35-45,Delhi,home,24703,5,48805,4
C000284,salaried_stressed,25-35,Bengaluru,credit_card,24631,5,123811,2
C000285,salaried_stable,55+,Kolkata,personal,16163,5,41505,4
C000286,salaried_stable,45-55,Mumbai,personal,31072,5,85732,3
C000287,salaried_stable,55+,Mumbai,home,37529,5,106820,1
C000288,salaried_stressed,55+,Delhi,home,14066,5,61869,4
C000289,salaried_stable,35-45,Hyderabad,home,16591,5,103449,5
C000290,sme_owner,25-35,Bengaluru,home,16281,5,112637,3
C000291,salaried_stable,55+,Chennai,personal,34223,5,108019,4
C000292,pensioner,35-45,Mumbai,personal,7721,5,77627,1
C000293,salaried_stable,25-35,Hyderabad,personal,36356,5,122796,2
C000294,sme_owner,55+,Mumbai,personal,32126,5,117799,2
C000295,pensioner,55+,Hyderabad,credit_card,21916,5,69162,4
C000296,pensioner,35-45,Mumbai,credit_card,25423,5,118010,2
C000297,gig_worker,55+,Kolkata,home,36300,5,140210,4
C000298,gig_worker,25-35,Delhi,personal,31944,5,128004,2
C000299,salaried_stressed,25-35,Delhi,home,14688,5,117984,4
C000300,gig_worker,35-45,Bengaluru,credit_card,6764,5,121982,2
C000301,salaried_stable,45-55,Mumbai,personal,28045,5,126565,3
C000302,salaried_stressed,25-35,Mumbai,home,10103,5,64694,1
C000303,salaried_stressed,25-35,Chennai,home,8078,5,116515,4
C000304,sme_owner,45-55,Delhi,personal,39380,5,53930,1
C000305,salaried_stable,55+,Bengaluru,home,21587,5,73014,5
C000306,salaried_stable,45-55,Hyderabad,home,27779,5,142143,5
C000307,salaried_stressed,55+,Mumbai,home,12606,5,63963,3
C000308,salaried_stable,55+,Bengaluru,credit_card,8559,5,131234,5
C000309,salaried_stable,45-55,Delhi,home,7196,5,80702,5
C000310,salaried_stable,45-55,Bengaluru,personal,17402,5,55183,1
C000311,salaried_stable,55+,Delhi,personal,5130,5,41643,4
C000312,salaried_stable,35-45,Mumbai,home,19701,5,95786,2
C000313,salaried_stable,25-35,Mumbai,credit_card,16366,5,84153,5
C000314,salaried_stable,55+,Kolkata,personal,23439,5,91361,5
C000315,salaried_stable,35-45,Mumbai,personal,25633,5,35176,5
C000316,salaried_stable,55+,Hyderabad,credit_card,15795,5,62174,3
C000317,salaried_stressed,35-45,Kolkata,home,20933,5,30473,1
C000318,salaried_stable,55+,Bengaluru,personal,7733,5,66298,1
C000319,pensioner,25-35,Delhi,personal,15561,5,141779,1
C000320,pensioner,45-55,Hyderabad,home,39236,5,48277,5
C000321,salaried_stable,35-45,Kolkata,home,39692,5,112720,3
C000322,salaried_stable,35-45,Mumbai,home,22003,5,30693,2
C000323,salaried_stressed,35-45,Kolkata,personal,37883,5,97421,3
C000324,sme_owner,55+,Kolkata,home,22545,5,140512,1
C000325,salaried_stressed,35-45,Mumbai,credit_card,9397,5,70932,3
C000326,gig_worker,55+,Mumbai,personal,35376,5,53659,3
C000327,salaried_stressed,35-45,Hyderabad,home,19528,5,98464,4
C000328,salaried_stressed,25-35,Mumbai,personal,26435,5,63473,1
C000329,salaried_stable,55+,Chennai,home,27709,5,136989,5
C000330,gig_worker,25-35,Mumbai,personal,15781,5,131879,1
C000331,salaried_stable,35-45,Hyderabad,personal,30672,5,108285,3
C000332,salaried_stressed,55+,Delhi,credit_card,22545,5,106684,2
C000333,sme_owner,55+,Mumbai,personal,17823,5,102297,4
C000334,salaried_stable,55+,Mumbai,credit_card,15427,5,118235,4
C000335,salaried_stressed,35-45,Delhi,home,31119,5,85224,1
C000336,salaried_stable,55+,Chennai,home,13726,5,146369,3
C000337,gig_worker,35-45,Mumbai,home,9345,5,71483,3
C000338,salaried_stable,45-55,Hyderabad,home,35861,5,31072,3
C000339,pensioner,45-55,Chennai,home,16613,5,113825,1
C000340,salaried_stable,25-35,Delhi,credit_card,27436,5,109467,1
C000341,pensioner,35-45,Kolkata,credit_card,30075,5,147717,3
C000342,gig_worker,35-45,Chennai,personal,34341,5,77439,2
C000343,salaried_stressed,35-45,Hyderabad,credit_card,26898,5,80970,3
C000344,gig_worker,35-45,Delhi,personal,29777,5,97440,1
C000345,gig_worker,45-55,Hyderabad,credit_card,34302,5,77064,4
C000346,pensioner,25-35,Chennai,personal,38017,5,124182,1
C000347,salaried_stable,25-35,Kolkata,personal,6639,5,81373,4
C000348,salaried_stressed,55+,Bengaluru,credit_card,31013,5,124034,5
C000349,salaried_stable,35-45,Hyderabad,credit_card,11103,5,81065,2
C000350,salaried_stressed,45-55,Bengaluru,personal,36194,5,57011,1
C000351,salaried_stable,45-55,Mumbai,home,6697,5,148874,1
C000352,salaried_stressed,45-55,Mumbai,home,13637,5,93178,2
C000353,salaried_stressed,35-45,Kolkata,home,11723,5,114813,1
C000354,salaried_stable,35-45,Hyderabad,home,26119,5,100951,5
C000355,salaried_stressed,55+,Bengaluru,credit_card,5149,5,73102,5
C000356,gig_worker,55+,Hyderabad,credit_card,5595,5,146656,5
C000357,gig_worker,35-45,Mumbai,home,22647,5,74580,5
C000358,salaried_stable,45-55,Mumbai,credit_card,39008,5,149171,3
C000359,salaried_stressed,55+,Chennai,credit_card,23491,5,81695,2
C000360,pensioner,25-35,Chennai,personal,20607,5,32717,3
C000361,salaried_stable,55+,Kolkata,credit_card,28026,5,34405,2
C000362,salaried_stable,35-45,Hyderabad,credit_card,24313,5,146838,5
C000363,salaried_stable,55+,Delhi,personal,18471,5,93337,3
C000364,salaried_stressed,45-55,Hyderabad,credit_card,25599,5,76516,2
C000365,salaried_stable,55+,Bengaluru,credit_card,5112,5,127365,4
C000366,gig_worker,25-35,Hyderabad,home,13557,5,104057,2
C000367,salaried_stressed,25-35,Delhi,home,28586,5,109268,2
C000368,salaried_stable,55+,Mumbai,home,16954,5,112253,2
C000369,sme_owner,45-55,Mumbai,credit_card,6900,5,53810,1
C000370,gig_worker,45-55,Kolkata,credit_card,9355,5,40592,1
C000371,salaried_stable,25-35,Mumbai,credit_card,35315,5,117364,3
C000372,salaried_stable,25-35,Kolkata,home,16535,5,32617,5
C000373,salaried_stable,55+,Hyderabad,personal,5792,5,116335,2
C000374,salaried_stable,35-45,Mumbai,credit_card,30508,5,45592,4
C000375,salaried_stable,45-55,Kolkata,personal,23566,5,61504,2
C000376,pensioner,35-45,Mumbai,personal,20798,5,114931,2
C000377,salaried_stable,35-45,Mumbai,personal,36322,5,104744,1
C000378,salaried_stable,25-35,Chennai,credit_card,15980,5,123784,3
C000379,gig_worker,55+,Delhi,home,25037,5,103313,4
C000380,salaried_stressed,55+,Delhi,personal,31071,5,35741,2
C000381,pensioner,25-35,Delhi,personal,26294,5,130774,3
C000382,gig_worker,35-45,Chennai,home,12279,5,55889,3
C000383,salaried_stable,45-55,Mumbai,credit_card,28856,5,46328,2
C000384,salaried_stable,35-45,Delhi,credit_card,31018,5,135424,4
C000385,pensioner,45-55,Chennai,home,9284,5,53380,3
C000386,gig_worker,35-45,Bengaluru,home,10790,5,94328,1
C000387,pensioner,25-35,Hyderabad,credit_card,28622,5,88316,3
C000388,salaried_stable,35-45,Delhi,credit_card,9164,5,122341,2
C000389,sme_owner,45-55,Chennai,personal,35812,5,35297,4
C000390,salaried_stressed,25-35,Hyderabad,credit_card,8834,5,42802,2
C000391,salaried_stable,55+,Bengaluru,home,39097,5,79871,5
C000392,salaried_stressed,25-35,Delhi,credit_card,28502,5,86791,4
C000393,salaried_stressed,25-35,Chennai,personal,20506,5,124586,1
C000394,salaried_stable,45-55,Chennai,personal,14393,5,102687,3
C000395,salaried_stable,45-55,Mumbai,credit_card,17057,5,47845,5
C000396,sme_owner,35-45,Chennai,credit_card,31197,5,147465,2
C000397,salaried_stable,35-45,Mumbai,personal,31365,5,85193,4
C000398,salaried_stable,25-35,Chennai,credit_card,12303,5,145750,4
C000399,salaried_stable,45-55,Kolkata,personal,24000,5,148772,4
C000400,salaried_stable,35-45,Chennai,credit_card,39752,5,36200,1
C000401,pensioner,25-35,Hyderabad,personal,14005,5,90710,2
C000402,gig_worker,35-45,Delhi,personal,29269,5,80644,2
C000403,salaried_stable,55+,Kolkata,credit_card,11025,5,89798,2
C000404,pensioner,35-45,Hyderabad,credit_card,34192,5,67192,5
C000405,sme_owner,55+,Kolkata,personal,10958,5,97055,1
C000406,salaried_stable,35-45,Hyderabad,personal,15416,5,89063,3
C000407,sme_owner,25-35,Chennai,home,21071,5,52320,5
C000408,salaried_stable,35-45,Chennai,personal,17972,5,64621,5
C000409,pensioner,35-45,Kolkata,credit_card,10954,5,47659,4
C000410,salaried_stressed,25-35,Kolkata,credit_card,27434,5,131232,5
C000411,salaried_stressed,45-55,Bengaluru,credit_card,5690,5,111282,3
